captured_at,external_user_hash,message_id,user_message_preview,previous_node,next_node,intent,route_kind,presentation_scope,operational_note,provider_result_ids,tools_called
2026-06-17T17:36:55.978Z,5888aafdaa15e2b713420662facf19a944f1326dc9a2e9d77eb0d88caa9eb206,web_6a32db32cfa518.91197243,hola,contacto_inicial,entrevista,,ask_event_context,clarification,,[],[]
2026-06-17T17:37:19.204Z,5888aafdaa15e2b713420662facf19a944f1326dc9a2e9d77eb0d88caa9eb206,web_6a32db48433d05.78773868,cuales son las formas o medios de pago disponivbles,entrevista,consultar_faq,consultar_faq,faq,faq,,[],"[""file_search""]"
2026-06-17T17:38:33.383Z,5888aafdaa15e2b713420662facf19a944f1326dc9a2e9d77eb0d88caa9eb206,web_6a32db8e44c335.60404589,como funciona la comision el medio de pago,consultar_faq,consultar_faq,consultar_faq,faq,faq,,[],"[""file_search""]"
2026-06-17T17:40:18.546Z,5888aafdaa15e2b713420662facf19a944f1326dc9a2e9d77eb0d88caa9eb206,web_6a32dbf9cc0fc2.28149630,cuales son los beneficios y descuentes que tenemos,consultar_faq,consultar_faq,consultar_faq,faq,faq,,[],"[""file_search""]"
2026-06-17T17:40:57.861Z,5888aafdaa15e2b713420662facf19a944f1326dc9a2e9d77eb0d88caa9eb206,web_6a32dc228ce274.64051011,que puedo encontrar en el shop de sin envolturas_,consultar_faq,consultar_faq,consultar_faq,faq,faq,,[],"[""file_search""]"
2026-06-17T17:43:31.929Z,5888aafdaa15e2b713420662facf19a944f1326dc9a2e9d77eb0d88caa9eb206,web_6a32dcbbf006e0.40597770,como funciona la transmision en vivo de sin envolturas,consultar_faq,consultar_faq,consultar_faq,faq,faq,,[],"[""file_search""]"
2026-06-17T17:44:16.434Z,5888aafdaa15e2b713420662facf19a944f1326dc9a2e9d77eb0d88caa9eb206,web_6a32dce94ded39.85709844,cuando tiempo estara activo mi evento?,consultar_faq,consultar_faq,consultar_faq,faq,faq,,[],"[""file_search""]"
2026-06-17T17:45:53.546Z,5888aafdaa15e2b713420662facf19a944f1326dc9a2e9d77eb0d88caa9eb206,web_6a32dd463d2291.53851935,cuales son los pasos para crear mi lista de regalos?,consultar_faq,consultar_faq,consultar_faq,faq,faq,,[],"[""file_search""]"
2026-06-17T17:46:42.069Z,5888aafdaa15e2b713420662facf19a944f1326dc9a2e9d77eb0d88caa9eb206,web_6a32dd76994ad1.32483310,como armo y personalizo mi lista de reglaos,consultar_faq,consultar_faq,consultar_faq,faq,faq,,[],"[""file_search""]"
2026-06-17T17:47:14.884Z,5888aafdaa15e2b713420662facf19a944f1326dc9a2e9d77eb0d88caa9eb206,web_6a32dd9b07b627.69969528,cuales son los tipos de regalos,consultar_faq,consultar_faq,consultar_faq,faq,faq,,[],"[""file_search""]"
