id,title,slug,category,detailUrl,location,priceLevel,minPrice,maxPrice,rating,websiteUrl,promoBadge,promoSummary,descriptionSnippet,serviceHighlightsCount,termsHighlightsCount,eventTypesCount,categoryExpectedEventTypes,hasLocation,hasStructuredPrice,hasWebsiteUrl,hasStructuredPromo,hasDescriptionSnippet,hasServiceHighlights,hasTermsHighlights,hasEventTypes,hasNonZeroRating,implicitPromoInTitle,genericServiceHighlights,genericTermsHighlights,comparisonSignalCount,issueFlags
96,Adiós soltería,adios-solteria,Accesorios y zapatos,https://sinenvolturas.com/proveedores/adios-solteria,Perú,$,,,0.0,https://adiossolteria.com/,Hasta 20% Off,"20% dscto en Batas personalizadas
15% dscto en Accesorios personalizados para despedida","Adiós Soltería es una marca especializada en productos personalizados para despedidas de soltera, creando experiencias únicas y memorables para celebrar este momento especial.",3,2,0,wedding | others,true,true,true,true,true,true,true,false,false,false,false,false,7,missing_event_types | zero_or_missing_rating
112,Armeria Zapatos de novia,armeria-zapatos-de-novia,Accesorios y zapatos,https://sinenvolturas.com/proveedores/armeria-zapatos-de-novia,Perú,$,,,0.0,,20% Off,20% Off en zapatos personalizados para novias e invitadas,"Armería es una tienda de zapatos que reúne propuestas para novias y colecciones con diseños únicos para distintos estilos, pensados para quienes buscan marcar la diferencia en cada paso.",2,1,0,wedding | others,true,true,false,true,true,true,true,false,false,false,false,false,6,missing_event_types | zero_or_missing_rating
67,Carati,carati,Accesorios y zapatos,https://sinenvolturas.com/proveedores/carati,Perú,$$$$,,,0.0,https://caratijoyeria.com/,20% Off,20% de descuento en anillos de compromiso y colección de novias,"Carati es una marca especializada en joyería fina, destacando por sus anillos de compromiso y piezas diseñadas para momentos especiales.",3,2,0,wedding | others,true,true,true,true,true,true,true,false,false,false,false,false,7,missing_event_types | zero_or_missing_rating
129,Catú Novias,catu-novias,Accesorios y zapatos,https://sinenvolturas.com/proveedores/catu-novias,Perú,$$$,,,0.0,https://catunovias.com/,Bono de S/. 50,Bono de S/.50 en zapatos de novia,"Catú Novias es una marca especializada en zapatos para novias, diseñados para acompañarlas en uno de los días más importantes, combinando comodidad, estilo y detalles pensados para cada paso hacia el “sí”.",1,2,0,wedding | others,true,true,true,true,true,true,true,false,false,false,false,false,7,missing_event_types | zero_or_missing_rating
22,Clutch,clutch,Accesorios y zapatos,https://sinenvolturas.com/proveedores/clutch,"Lima, Perú",$$$,,,0.0,https://clutch.pe/pe/,Hasta 20% Off,"Novias: 20% de dscto. 

Invitados: 15% de dscto.","Clutch es una tienda de zapatos que combina estilo y versatilidad, ofreciendo desde opciones para el día a día hasta diseños especiales para novias, pensados para acompañar cada momento con comodidad y personalidad.",2,2,0,wedding | others,true,true,true,true,true,true,true,false,false,false,false,false,7,missing_event_types | zero_or_missing_rating
3,Esme & Odrilia,esme-odrilia,Accesorios y zapatos,https://sinenvolturas.com/proveedores/esme-odrilia,Perú,$$,,,0.0,https://esmeyodrilia.com/,15% Off,15% de descuento en bolsos y neceseres,"Esme & Odrilia es una marca especializada en bolsos y neceseres, diseñados con un enfoque funcional y estético para acompañarte en momentos especiales.",0,2,0,wedding | others,true,true,true,true,true,false,true,false,false,false,false,true,6,missing_service_highlights | missing_event_types | zero_or_missing_rating | generic_terms_highlights
62,Fascia,fascia,Accesorios y zapatos,https://sinenvolturas.com/proveedores/fascia,"Lima, Perú",$$,,,0.0,,24% Off,24% de descuento en fajas,"Fascia es una marca especializada en fajas y prendas moldeadoras, diseñadas para realzar la silueta y brindar comodidad en momentos especiales.",3,2,0,wedding | others,true,true,false,true,true,true,true,false,false,false,false,false,6,missing_event_types | zero_or_missing_rating
101,Gaura Zapatos de Novia,gaura-zapatos-de-novia,Accesorios y zapatos,https://sinenvolturas.com/proveedores/gaura-zapatos-de-novia,Perú,$$,,,0.0,,15% Off,15% de descuento en zapatos de novia 100% cuero en Gaura.,"Gaura es una tienda de zapatos que ofrece diseños especiales para novias, así como una variedad de modelos para diferentes estilos y ocasiones, combinando comodidad, estilo y versatilidad en cada paso.",2,2,0,wedding | others,true,true,false,true,true,true,true,false,false,false,false,false,6,missing_event_types | zero_or_missing_rating
16,Idilia,idilia,Accesorios y zapatos,https://sinenvolturas.com/proveedores/idilia,Perú,$$,,,0.0,,,20% de descuento en cualquier tocado que elija la novia,"Idilia es una marca especializada en tocados y accesorios para novias, creando piezas únicas que complementan el look nupcial con elegancia y personalidad.",3,2,0,wedding | others,true,true,false,true,true,true,true,false,false,false,false,false,6,missing_event_types | zero_or_missing_rating
110,Lilium Tocados,lilium-tocados,Accesorios y zapatos,https://sinenvolturas.com/proveedores/lilium-tocados,Perú,$$$,,,0.0,,10% Off,10% de descuento en piezas seleccionadas de Lilium Tocados a los clientes de Sin Envoltura,"Lilium Tocados es una marca especializada en tocados y accesorios para novias, con piezas delicadas y elegantes diseñadas para complementar cada estilo nupcial.",3,2,0,wedding | others,true,true,false,true,true,true,true,false,false,false,false,false,6,missing_event_types | zero_or_missing_rating
