route,count
contacto_inicial->recomendar,41
contacto_inicial->recomendar|recomendar->recomendar,20
contacto_inicial->recomendar|recomendar->seguir_refinando_guardar_plan,20
contacto_inicial->elicitacion_necesidades,14
contacto_inicial->recomendar|recomendar->seguir_refinando_guardar_plan|seguir_refinando_guardar_plan->crear_lead_cerrar,14
contacto_inicial->entrevista|entrevista->consultar_faq,10
contacto_inicial->recomendar|recomendar->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->recomendar,7
contacto_inicial->elicitacion_necesidades|elicitacion_necesidades->consultar_faq,5
contacto_inicial->recomendar|recomendar->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->aclarar_pedir_faltante,5
contacto_inicial->entrevista,3
,3
contacto_inicial->recomendar|recomendar->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->seguir_refinando_guardar_plan,2
contacto_inicial->elicitacion_necesidades|elicitacion_necesidades->recomendar,2
contacto_inicial->recomendar|recomendar->entrevista,1
contacto_inicial->aclarar_pedir_faltante|aclarar_pedir_faltante->recomendar,1
contacto_inicial->elicitacion_necesidades|elicitacion_necesidades->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->recomendar,1
contacto_inicial->entrevista|entrevista->recomendar,1
