scenarioId,eventGroup,routeFamily,repetition,outcome,status,turns,latencyMs,tokens,toolCalls,openaiCostUsd,lambdaCostUsd,totalPricedCostUsd,finalNode,terminalReached,groundedTurns,groundingRequiredTurns
study.wedding.01,wedding,recommendation,1,failed_assertion,failed,1,17055,17263,1,0.00453166,0.0002844505685,0.0048161105685,recomendar,true,1,1
study.wedding.02,wedding,clarification,1,failed_assertion,failed,1,25548,17002,1,0.00400646,0.0004260008516,0.0044324608516,recomendar,false,1,1
study.wedding.03,wedding,multi_need,1,failed_assertion,failed,1,13494,18468,3,0.006941350000000001,0.0002251004498,0.007166450449800001,elicitacion_necesidades,false,1,1
study.wedding.04,wedding,refinement,1,failed_assertion,failed,2,24699,36062,2,0.008483669999999999,0.0004120508233000001,0.0088957208233,recomendar,true,2,2
study.wedding.05,wedding,selection,1,failed_assertion,failed,2,16765,41908,2,0.01083327,0.0002798172255,0.011113087225500001,seguir_refinando_guardar_plan,true,2,2
study.wedding.06,wedding,pause_resume,1,failed_assertion,failed,3,27267,60737,5,0.01498968,0.00045505090890000005,0.015444730908899999,recomendar,false,3,3
study.wedding.07,wedding,closure,1,failed_assertion,failed,3,23219,71118,3,0.01704383,0.0003875841073,0.0174314141073,crear_lead_cerrar,true,3,3
study.wedding.08,wedding,faq,1,completed,passed,2,24895,44622,6,0.017490270000000002,0.00041531749650000003,0.0179055874965,consultar_faq,true,2,2
study.wedding.09,wedding,no_results,1,failed_assertion,failed,1,13814,17804,3,0.00601936,0.0002304337938,0.0062497937938,elicitacion_necesidades,false,0,0
study.wedding.10,wedding,error_recovery,1,failed_assertion,failed,2,17716,33667,2,0.00498532,0.0002956672572,0.0052809872572,recomendar,true,2,2
study.birthday.01,birthday,recommendation,1,completed,passed,1,9923,16838,1,0.0036545600000000003,0.00016558366410000003,0.0038201436641000005,recomendar,true,1,1
study.birthday.02,birthday,clarification,1,failed_assertion,failed,1,10041,16842,1,0.00358761,0.0001675503347,0.0037551603347000004,recomendar,false,1,1
study.birthday.03,birthday,multi_need,1,failed_assertion,failed,1,11012,17999,2,0.0044703600000000005,0.0001837337004,0.004654093700400001,elicitacion_necesidades,false,1,1
study.birthday.04,birthday,refinement,1,completed,passed,2,20757,35058,2,0.00724157,0.0003463506919,0.007587920691900001,recomendar,true,2,2
study.birthday.05,birthday,selection,1,completed,passed,2,15393,34852,1,0.00733682,0.0002569505131,0.0075937705131000005,seguir_refinando_guardar_plan,true,2,2
study.birthday.06,birthday,pause_resume,1,failed_assertion,failed,3,20478,50711,2,0.00776208,0.0003419006826,0.008103980682600001,recomendar,false,3,3
study.birthday.07,birthday,closure,1,completed,passed,3,21448,61271,2,0.01163308,0.0003580673816000001,0.011991147381599999,crear_lead_cerrar,true,3,3
study.birthday.08,birthday,faq,1,completed,passed,2,20196,39336,1,0.01098417,0.00033700067320000004,0.0113211706732,consultar_faq,true,1,1
study.birthday.09,birthday,no_results,1,failed_assertion,failed,1,10917,20697,2,0.0030037600000000003,0.00018215036390000001,0.0031859103639,refinar_criterios,false,0,0
study.birthday.10,birthday,error_recovery,1,failed_assertion,failed,2,23976,40538,3,0.00762442,0.0004000007992,0.0080244207992,recomendar,true,2,2
