scenario,event_group,turn,response_reference,provider_existence,attribute_faithfulness,rationale_support,hard_constraint_consistency,reviewer,notes
study.baby_shower.01,baby_shower,0,458-01KWGVBCGEWW7NB619VKFGB92Q,,,,,,
study.baby_shower.03,baby_shower,0,1119-01KWGVCBM96SKC1MEQBEGNQ7R7,,,,,,
study.baby_shower.05,baby_shower,1,192-01KWGVDGBKS4QX61SNPMM2FE9Z,,,,,,
study.baby_shower.07,baby_shower,2,112-01KWGVF061YCMWCSXN73R0P3DN,,,,,,
study.birthday.01,birthday,0,1399-01KWGV5HFHGTS9EAGS3XD53J7B,,,,,,
study.birthday.03,birthday,0,1396-01KWGV69ZSAZGBMGHR8RH6BHS0,,,,,,
study.birthday.05,birthday,1,171-01KWGV7HT4HZQE9JZY04WKZCBX,,,,,,
study.birthday.07,birthday,2,158-01KWGV943J5J4RAFVS6RAN7FC,,,,,,
study.corporate.01,corporate,0,463-01KWGVH85XBAJ2THP0B6M0JSC6,,,,,,
study.corporate.03,corporate,0,1500-01KWGVJ4G981HXVNP14Y8G3NNQ,,,,,,
study.corporate.05,corporate,1,179-01KWGVKKGY8F4766P2GCB518S8,,,,,,
study.corporate.07,corporate,2,112-01KWGVN3S2KKR1TH9MS9490CKQ,,,,,,
study.social.01,social,0,1436-01KWGVPWSEPSHGWC410YHPEDEB,,,,,,
study.social.03,social,0,2212-01KWGVQT20EJGR0VS6JHJ5ZKP5,,,,,,
study.social.05,social,1,285-01KWGVS53EJ23SPB9PNG3ZEH7W,,,,,,
study.social.07,social,2,109-01KWGVTR0ANVCEPTSBAJYSK9VD,,,,,,
study.wedding.01,wedding,0,1518-01KWGTYX5F1HREZJD5A6EXKMGF,,,,,,
study.wedding.03,wedding,0,2489-01KWGTZWCVWSWZ0FQ947Z5VDEF,,,,,,
study.wedding.05,wedding,1,232-01KWGV1BMHBKS0NXWH5RGY2F3Y,,,,,,
study.wedding.07,wedding,2,198-01KWGV35AC3M4SH5N3K65JKT1D,,,,,,
